country,year,asset_class,value
Afghanistan,2020,Total,0
Afghanistan,2020,Equity,0
Afghanistan,2020,LT Debt,0
Afghanistan,2020,ST Debt,0
Afghanistan,2019,Total,0
Afghanistan,2019,Equity,0
Afghanistan,2019,LT Debt,0
Afghanistan,2019,ST Debt,0
Afghanistan,2018,Total,0
Afghanistan,2018,Equity,0
Afghanistan,2018,LT Debt,0
Afghanistan,2018,ST Debt,0
Afghanistan,2017,Total,0
Afghanistan,2017,Equity,0
Afghanistan,2017,LT Debt,0
Afghanistan,2017,ST Debt,0
Afghanistan,2016,Total,0
Afghanistan,2016,Equity,0
Afghanistan,2016,LT Debt,0
Afghanistan,2016,ST Debt,0
Afghanistan,2015,Total,0
Afghanistan,2015,Equity,0
Afghanistan,2015,LT Debt,0
Afghanistan,2015,ST Debt,0
Afghanistan,2014,Total,0
Afghanistan,2014,Equity,0
Afghanistan,2014,LT Debt,0
Afghanistan,2014,ST Debt,0
Afghanistan,2013,Total,0
Afghanistan,2013,Equity,0
Afghanistan,2013,LT Debt,0
Afghanistan,2013,ST Debt,0
Afghanistan,2012,Total,0
Afghanistan,2012,Equity,0
Afghanistan,2012,LT Debt,0
Afghanistan,2012,ST Debt,0
Afghanistan,2011,Total,0
Afghanistan,2011,Equity,0
Afghanistan,2011,LT Debt,0
Afghanistan,2011,ST Debt,0
Afghanistan,2010,Total,0
Afghanistan,2010,Equity,0
Afghanistan,2010,LT Debt,0
Afghanistan,2010,ST Debt,0
Afghanistan,2009,Total,0
Afghanistan,2009,Equity,0
Afghanistan,2009,LT Debt,0
Afghanistan,2009,ST Debt,0
Afghanistan,2008,Total,0
Afghanistan,2008,Equity,0
Afghanistan,2008,LT Debt,0
Afghanistan,2008,ST Debt,0
Afghanistan,2007,Total,0
Afghanistan,2007,Equity,0
Afghanistan,2007,LT Debt,0
Afghanistan,2007,ST Debt,0
Afghanistan,2006,Total,0
Afghanistan,2006,Equity,0
Afghanistan,2006,LT Debt,0
Afghanistan,2006,ST Debt,0
Afghanistan,2005,Total,0
Afghanistan,2005,Equity,0
Afghanistan,2005,LT Debt,0
Afghanistan,2005,ST Debt,0
Afghanistan,2004,Total,0
Afghanistan,2004,Equity,0
Afghanistan,2004,LT Debt,0
Afghanistan,2004,ST Debt,0
Afghanistan,2003,Total,0
Afghanistan,2003,Equity,0
Afghanistan,2003,LT Debt,0
Afghanistan,2003,ST Debt,0
Albania,2020,Total,0.232
Albania,2020,Equity,0
Albania,2020,LT Debt,0.232
Albania,2020,ST Debt,0
Albania,2019,Total,0.173
Albania,2019,Equity,0
Albania,2019,LT Debt,0.173
Albania,2019,ST Debt,0
Albania,2018,Total,0.337
Albania,2018,Equity,0
Albania,2018,LT Debt,0.337
Albania,2018,ST Debt,0
Albania,2017,Total,0.303
Albania,2017,Equity,0
Albania,2017,LT Debt,0.303
Albania,2017,ST Debt,0
Albania,2016,Total,0.218
Albania,2016,Equity,0
Albania,2016,LT Debt,0.218
Albania,2016,ST Debt,0
Albania,2015,Total,0.234
Albania,2015,Equity,0
Albania,2015,LT Debt,0.234
Albania,2015,ST Debt,0
Albania,2014,Total,0.102
Albania,2014,Equity,0
Albania,2014,LT Debt,0.102
Albania,2014,ST Debt,NA
Albania,2013,Total,0.23
Albania,2013,Equity,0.129
Albania,2013,LT Debt,0.102
Albania,2013,ST Debt,0
Albania,2012,Total,0.091
Albania,2012,Equity,0
Albania,2012,LT Debt,0.091
Albania,2012,ST Debt,0
Albania,2011,Total,0.082
Albania,2011,Equity,0
Albania,2011,LT Debt,0.082
Albania,2011,ST Debt,0
Albania,2010,Total,0.015
Albania,2010,Equity,NA
Albania,2010,LT Debt,0.015
Albania,2010,ST Debt,0
Albania,2009,Total,0.006
Albania,2009,Equity,NA
Albania,2009,LT Debt,0.006
Albania,2009,ST Debt,0
Albania,2008,Total,0.013
Albania,2008,Equity,NA
Albania,2008,LT Debt,0.013
Albania,2008,ST Debt,NA
Albania,2007,Total,0.013
Albania,2007,Equity,NA
Albania,2007,LT Debt,0.013
Albania,2007,ST Debt,0
Albania,2006,Total,0.012
Albania,2006,Equity,0
Albania,2006,LT Debt,0.012
Albania,2006,ST Debt,0
Albania,2005,Total,0.006
Albania,2005,Equity,0
Albania,2005,LT Debt,0.006
Albania,2005,ST Debt,0
Albania,2004,Total,0.005
Albania,2004,Equity,0
Albania,2004,LT Debt,0.005
Albania,2004,ST Debt,0
Albania,2003,Total,0.004
Albania,2003,Equity,0
Albania,2003,LT Debt,0.004
Albania,2003,ST Debt,0
Algeria,2020,Total,0
Algeria,2020,Equity,0
Algeria,2020,LT Debt,0
Algeria,2020,ST Debt,0
Algeria,2019,Total,0
Algeria,2019,Equity,0
Algeria,2019,LT Debt,0
Algeria,2019,ST Debt,0
Algeria,2018,Total,0
Algeria,2018,Equity,0
Algeria,2018,LT Debt,0
Algeria,2018,ST Debt,0
Algeria,2017,Total,0
Algeria,2017,Equity,0
Algeria,2017,LT Debt,0
Algeria,2017,ST Debt,0
Algeria,2016,Total,0
Algeria,2016,Equity,0
Algeria,2016,LT Debt,0
Algeria,2016,ST Debt,0
Algeria,2015,Total,0
Algeria,2015,Equity,0
Algeria,2015,LT Debt,0
Algeria,2015,ST Debt,0
Algeria,2014,Total,0
Algeria,2014,Equity,0
Algeria,2014,LT Debt,0
Algeria,2014,ST Debt,0
Algeria,2013,Total,0
Algeria,2013,Equity,0
Algeria,2013,LT Debt,0
Algeria,2013,ST Debt,0
Algeria,2012,Total,0
Algeria,2012,Equity,0
Algeria,2012,LT Debt,0
Algeria,2012,ST Debt,0
Algeria,2011,Total,0
Algeria,2011,Equity,0
Algeria,2011,LT Debt,0
Algeria,2011,ST Debt,0
Algeria,2010,Total,0
Algeria,2010,Equity,0
Algeria,2010,LT Debt,0
Algeria,2010,ST Debt,0
Algeria,2009,Total,0
Algeria,2009,Equity,0
Algeria,2009,LT Debt,0
Algeria,2009,ST Debt,0
Algeria,2008,Total,0
Algeria,2008,Equity,0
Algeria,2008,LT Debt,0
Algeria,2008,ST Debt,0
Algeria,2007,Total,0
Algeria,2007,Equity,0
Algeria,2007,LT Debt,0
Algeria,2007,ST Debt,0
Algeria,2006,Total,0
Algeria,2006,Equity,0
Algeria,2006,LT Debt,0
Algeria,2006,ST Debt,0
Algeria,2005,Total,NA
Algeria,2005,Equity,NA
Algeria,2005,LT Debt,NA
Algeria,2005,ST Debt,NA
Algeria,2004,Total,NA
Algeria,2004,Equity,NA
Algeria,2004,LT Debt,NA
Algeria,2004,ST Debt,NA
Algeria,2003,Total,NA
Algeria,2003,Equity,NA
Algeria,2003,LT Debt,NA
Algeria,2003,ST Debt,NA
Andorra,2020,Total,0
Andorra,2020,Equity,0
Andorra,2020,LT Debt,0
Andorra,2020,ST Debt,0
Andorra,2019,Total,0
Andorra,2019,Equity,0
Andorra,2019,LT Debt,0
Andorra,2019,ST Debt,0
Andorra,2018,Total,0
Andorra,2018,Equity,0
Andorra,2018,LT Debt,0
Andorra,2018,ST Debt,0
Andorra,2017,Total,0
Andorra,2017,Equity,0
Andorra,2017,LT Debt,0
Andorra,2017,ST Debt,0
Andorra,2016,Total,0
Andorra,2016,Equity,0
Andorra,2016,LT Debt,0
Andorra,2016,ST Debt,0
Andorra,2015,Total,0
Andorra,2015,Equity,0
Andorra,2015,LT Debt,0
Andorra,2015,ST Debt,0
Andorra,2014,Total,0
Andorra,2014,Equity,0
Andorra,2014,LT Debt,0
Andorra,2014,ST Debt,0
Andorra,2013,Total,0.001
Andorra,2013,Equity,0
Andorra,2013,LT Debt,0.001
Andorra,2013,ST Debt,0
Andorra,2012,Total,0.008
Andorra,2012,Equity,0.007
Andorra,2012,LT Debt,0.001
Andorra,2012,ST Debt,0
Andorra,2011,Total,0.005
Andorra,2011,Equity,0.005
Andorra,2011,LT Debt,0
Andorra,2011,ST Debt,0
Andorra,2010,Total,0
Andorra,2010,Equity,0
Andorra,2010,LT Debt,0
Andorra,2010,ST Debt,0
Andorra,2009,Total,0
Andorra,2009,Equity,0
Andorra,2009,LT Debt,0
Andorra,2009,ST Debt,0
Andorra,2008,Total,0.007
Andorra,2008,Equity,0.007
Andorra,2008,LT Debt,0
Andorra,2008,ST Debt,0
Andorra,2007,Total,0.014
Andorra,2007,Equity,0.014
Andorra,2007,LT Debt,0
Andorra,2007,ST Debt,0
Andorra,2006,Total,0.009
Andorra,2006,Equity,0.009
Andorra,2006,LT Debt,0
Andorra,2006,ST Debt,0
Andorra,2005,Total,0.005
Andorra,2005,Equity,0.005
Andorra,2005,LT Debt,0
Andorra,2005,ST Debt,0
Andorra,2004,Total,0.002
Andorra,2004,Equity,0.002
Andorra,2004,LT Debt,0
Andorra,2004,ST Debt,0
Andorra,2003,Total,0
Andorra,2003,Equity,0
Andorra,2003,LT Debt,0
Andorra,2003,ST Debt,0
Angola,2020,Total,2.159
Angola,2020,Equity,0
Angola,2020,LT Debt,2.159
Angola,2020,ST Debt,0
Angola,2019,Total,2.175
Angola,2019,Equity,0
Angola,2019,LT Debt,2.175
Angola,2019,ST Debt,0
Angola,2018,Total,1.383
Angola,2018,Equity,0
Angola,2018,LT Debt,1.383
Angola,2018,ST Debt,0
Angola,2017,Total,0.468
Angola,2017,Equity,0
Angola,2017,LT Debt,0.468
Angola,2017,ST Debt,0
Angola,2016,Total,0.349
Angola,2016,Equity,0
Angola,2016,LT Debt,0.349
Angola,2016,ST Debt,0
Angola,2015,Total,0.434
Angola,2015,Equity,0
Angola,2015,LT Debt,0.434
Angola,2015,ST Debt,0
Angola,2014,Total,0
Angola,2014,Equity,0
Angola,2014,LT Debt,0
Angola,2014,ST Debt,0
Angola,2013,Total,0
Angola,2013,Equity,0
Angola,2013,LT Debt,0
Angola,2013,ST Debt,0
Angola,2012,Total,0.007
Angola,2012,Equity,0
Angola,2012,LT Debt,0.007
Angola,2012,ST Debt,0
Angola,2011,Total,0.007
Angola,2011,Equity,0
Angola,2011,LT Debt,0.007
Angola,2011,ST Debt,0
Angola,2010,Total,0
Angola,2010,Equity,0
Angola,2010,LT Debt,0
Angola,2010,ST Debt,0
Angola,2009,Total,0.006
Angola,2009,Equity,0
Angola,2009,LT Debt,0.006
Angola,2009,ST Debt,0
Angola,2008,Total,0
Angola,2008,Equity,0
Angola,2008,LT Debt,0
Angola,2008,ST Debt,0
Angola,2007,Total,0
Angola,2007,Equity,0
Angola,2007,LT Debt,0
Angola,2007,ST Debt,0
Angola,2006,Total,0
Angola,2006,Equity,0
Angola,2006,LT Debt,0
Angola,2006,ST Debt,0
Angola,2005,Total,0
Angola,2005,Equity,0
Angola,2005,LT Debt,0
Angola,2005,ST Debt,0
Angola,2004,Total,0
Angola,2004,Equity,0
Angola,2004,LT Debt,0
Angola,2004,ST Debt,0
Angola,2003,Total,0
Angola,2003,Equity,0
Angola,2003,LT Debt,0
Angola,2003,ST Debt,0
Anguilla (3),2020,Total,0.001
Anguilla (3),2020,Equity,0.001
Anguilla (3),2020,LT Debt,0
Anguilla (3),2020,ST Debt,0
Anguilla (3),2019,Total,NA
Anguilla (3),2019,Equity,NA
Anguilla (3),2019,LT Debt,0
Anguilla (3),2019,ST Debt,0
Anguilla (3),2018,Total,0.678
Anguilla (3),2018,Equity,0.678
Anguilla (3),2018,LT Debt,0
Anguilla (3),2018,ST Debt,0
Anguilla (3),2017,Total,2.135
Anguilla (3),2017,Equity,2.135
Anguilla (3),2017,LT Debt,0
Anguilla (3),2017,ST Debt,0
Anguilla (3),2016,Total,1.107
Anguilla (3),2016,Equity,1.107
Anguilla (3),2016,LT Debt,0
Anguilla (3),2016,ST Debt,0
Anguilla (3),2015,Total,0.215
Anguilla (3),2015,Equity,0.215
Anguilla (3),2015,LT Debt,0
Anguilla (3),2015,ST Debt,0
Anguilla (3),2014,Total,0.301
Anguilla (3),2014,Equity,0.301
Anguilla (3),2014,LT Debt,0
Anguilla (3),2014,ST Debt,0
Anguilla (3),2013,Total,0.661
Anguilla (3),2013,Equity,0.661
Anguilla (3),2013,LT Debt,0
Anguilla (3),2013,ST Debt,0
Anguilla (3),2012,Total,0.001
Anguilla (3),2012,Equity,0.001
Anguilla (3),2012,LT Debt,0
Anguilla (3),2012,ST Debt,0
Anguilla (3),2011,Total,0.403
Anguilla (3),2011,Equity,0.403
Anguilla (3),2011,LT Debt,0
Anguilla (3),2011,ST Debt,0
Anguilla (3),2010,Total,NA
Anguilla (3),2010,Equity,NA
Anguilla (3),2010,LT Debt,0
Anguilla (3),2010,ST Debt,0
Anguilla (3),2009,Total,0.001
Anguilla (3),2009,Equity,0.001
Anguilla (3),2009,LT Debt,0
Anguilla (3),2009,ST Debt,0
Anguilla (3),2008,Total,0.004
Anguilla (3),2008,Equity,0.004
Anguilla (3),2008,LT Debt,0
Anguilla (3),2008,ST Debt,0
Anguilla (3),2007,Total,0.015
Anguilla (3),2007,Equity,0.015
Anguilla (3),2007,LT Debt,0
Anguilla (3),2007,ST Debt,0
Anguilla (3),2006,Total,0.004
Anguilla (3),2006,Equity,0.004
Anguilla (3),2006,LT Debt,0
Anguilla (3),2006,ST Debt,0
Anguilla (3),2005,Total,0.003
Anguilla (3),2005,Equity,0.003
Anguilla (3),2005,LT Debt,0
Anguilla (3),2005,ST Debt,0
Anguilla (3),2004,Total,0.002
Anguilla (3),2004,Equity,0.002
Anguilla (3),2004,LT Debt,0
Anguilla (3),2004,ST Debt,0
Anguilla (3),2003,Total,0
Anguilla (3),2003,Equity,0
Anguilla (3),2003,LT Debt,0
Anguilla (3),2003,ST Debt,0
Antigua and Barbuda,2020,Total,0.019
Antigua and Barbuda,2020,Equity,0.019
Antigua and Barbuda,2020,LT Debt,0
Antigua and Barbuda,2020,ST Debt,0
Antigua and Barbuda,2019,Total,0.104
Antigua and Barbuda,2019,Equity,0.104
Antigua and Barbuda,2019,LT Debt,0
Antigua and Barbuda,2019,ST Debt,0
Antigua and Barbuda,2018,Total,0.118
Antigua and Barbuda,2018,Equity,0.118
Antigua and Barbuda,2018,LT Debt,0
Antigua and Barbuda,2018,ST Debt,0
Antigua and Barbuda,2017,Total,0.149
Antigua and Barbuda,2017,Equity,0.149
Antigua and Barbuda,2017,LT Debt,0
Antigua and Barbuda,2017,ST Debt,0
Antigua and Barbuda,2016,Total,0.143
Antigua and Barbuda,2016,Equity,0.143
Antigua and Barbuda,2016,LT Debt,0
Antigua and Barbuda,2016,ST Debt,0
Antigua and Barbuda,2015,Total,0.147
Antigua and Barbuda,2015,Equity,0.147
Antigua and Barbuda,2015,LT Debt,0
Antigua and Barbuda,2015,ST Debt,0
Antigua and Barbuda,2014,Total,NA
Antigua and Barbuda,2014,Equity,NA
Antigua and Barbuda,2014,LT Debt,0
Antigua and Barbuda,2014,ST Debt,0
Antigua and Barbuda,2013,Total,0.134
Antigua and Barbuda,2013,Equity,0.134
Antigua and Barbuda,2013,LT Debt,0
Antigua and Barbuda,2013,ST Debt,0
Antigua and Barbuda,2012,Total,0.066
Antigua and Barbuda,2012,Equity,0.066
Antigua and Barbuda,2012,LT Debt,0
Antigua and Barbuda,2012,ST Debt,NA
Antigua and Barbuda,2011,Total,0.044
Antigua and Barbuda,2011,Equity,0.044
Antigua and Barbuda,2011,LT Debt,0
Antigua and Barbuda,2011,ST Debt,0
Antigua and Barbuda,2010,Total,0.112
Antigua and Barbuda,2010,Equity,0.112
Antigua and Barbuda,2010,LT Debt,0
Antigua and Barbuda,2010,ST Debt,0
Antigua and Barbuda,2009,Total,0.114
Antigua and Barbuda,2009,Equity,0.114
Antigua and Barbuda,2009,LT Debt,0
Antigua and Barbuda,2009,ST Debt,0
Antigua and Barbuda,2008,Total,0.029
Antigua and Barbuda,2008,Equity,0.029
Antigua and Barbuda,2008,LT Debt,0
Antigua and Barbuda,2008,ST Debt,0
Antigua and Barbuda,2007,Total,0.128
Antigua and Barbuda,2007,Equity,0.128
Antigua and Barbuda,2007,LT Debt,0
Antigua and Barbuda,2007,ST Debt,0
Antigua and Barbuda,2006,Total,0.033
Antigua and Barbuda,2006,Equity,0.033
Antigua and Barbuda,2006,LT Debt,0
Antigua and Barbuda,2006,ST Debt,NA
Antigua and Barbuda,2005,Total,0.033
